"filename", "language", "Properties", "pip requirements", "Python", "XML", "JavaScript", "Markdown", "JSON", "HTML", "JavaScript JSX", "PostCSS", "Log", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 18, 23, 274
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 334, 0, 0, 8, 24, 366
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 12, 17, 238
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\CrearRutinaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 10, 22, 306
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\EditarRutinaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 0, 11, 26, 352
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\Usuario.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 621, 0, 0, 21, 88, 730
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioActions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 12, 20, 174
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 0, 14, 30, 396
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 13, 18, 224
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 13, 34, 321
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 5, 12, 152
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\CrearUsuarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 6, 20, 304
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\EditarUsuarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 7, 19, 323
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 15, 24, 221
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\auth\Registro.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 15, 41, 472
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\PerfilCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 20, 42, 398
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\BodyMetricsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\CalculatedMetrics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 4, 34
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\PersonalInfoCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\charts\MetricsRadarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 2, 7, 97
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\equipos\EquiposPowerplate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 367, 0, 0, 30, 45, 442
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\horarios\HorariosTurnoCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 640, 0, 0, 47, 70, 757
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\iaroutines\RutinaIA.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 648, 0, 0, 10, 22, 680
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\reservas\ReservasCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 574, 0, 0, 43, 56, 673
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\reservas\modales\CancelarReservaModalCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 334, 0, 0, 28, 43, 405
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\reservas\modales\CrearReservaModalCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 557, 0, 0, 43, 63, 663
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\usuarios\modales\EditarUsuarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 7, 19, 324
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\PerfilEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 20, 42, 398
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\BodyMetricsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\CalculatedMetrics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 4, 34
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\PersonalInfoCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\componentes\charts\MetricsRadarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 2, 7, 97
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\HorariosEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 493, 0, 0, 31, 62, 586
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\componentes\HorarioFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 9, 15, 175
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\componentes\HorarioSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 13, 19, 252
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\componentes\HorarioTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 396, 0, 0, 12, 40, 448
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 17, 25, 274
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\CrearHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 420, 0, 0, 33, 51, 504
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\EditarHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 422, 0, 0, 29, 49, 500
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\EliminarHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 15, 27, 302
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\reservas\componentes\AsistenciaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\RutinasEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 514, 0, 0, 24, 59, 597
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\componentes\RutinaFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 7, 17, 154
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\componentes\RutinaSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 18, 23, 274
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\componentes\RutinaTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 334, 0, 0, 8, 24, 366
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 7, 16, 194
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\modales\CrearRutinaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 6, 17, 228
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\modales\EditarRutinaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 8, 21, 310
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\usuarios\modales\EditarUsuarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 7, 19, 312
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 4, 36
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\auth.js", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 10, 13, 101
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\equipos.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 26, 6, 69
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\horarios.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 9, 8, 52
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\ia_routines_client.js", "JavaScript", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 65, 26, 260
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\reservas.js", "JavaScript", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 17, 32, 222
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\rutinas.js", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 9, 9, 54
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\usuarios.js", "JavaScript", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 9, 10, 87
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\constantes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\helper.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\roles.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\validaciones.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\tailwind.config.cjs", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\vite.config.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"Total", "-", 2, 10, 4083, 3, 830, 21, 3367, 13, 26707, 6, 343185, 2336, 4278, 384841
